"","title","releaseYear","genre","sequel","hitFlop"
"1","Lagaan: Once Upon a Time in India",2001,"Adventure | Drama | Musical","0",6
"8","Kabhi Khushi Kabhie Gham...",2001,"Drama | Musical | Romance","0",8
"12","Chori Chori Chupke Chupke",2001,"Drama | Musical | Romance","0",5
"15","Chandni Bar",2001,"Crime | Drama","0",5
"18","Farz",2001,"Action","0",4
"22","Aashiq",2001,"Action | Comedy | Drama","0",3
"27","Ajnabee",2001,"Crime | Mystery | Thriller","0",4
"28","Jodi No.1",2001,"Comedy","0",6
"29","Chhupa Rustam: A Musical Thriller",2001,"Crime | Drama | Romance","0",3
"31","Pyaar Tune Kya Kiya...",2001,"Thriller","0",3
"33","Gadar: Ek Prem Katha",2001,"Action | Drama | Romance","0",9
"34","Mujhe Kucch Kehna Hai",2001,"Romance","0",7
"39","Tum Bin...: Love Will Find a Way",2001,"Drama | Romance","0",4
"41","Dil Chahta Hai",2001,"Comedy | Drama","0",4
"53","Indian",2001,"Action | Crime | Drama","0",6
"59","Aamdani Atthanni Kharcha Rupaiya",2001,"Comedy","0",3
"63","Style",2001,"Musical | Comedy","0",5
"4","Hum Tumhare Hain Sanam",2002,"Drama | Romance","0",4
"6","Devdas",2002,"Musical | Romance","0",6
"45","Kaante",2002,"Action | Crime | Drama","0",3
"48","Company",2002,"Action | Crime | Thriller","0",4
"61","Aankhen",2002,"Comedy | Thriller | Crime","0",4
"64","Maa Tujhhe Salaam",2002,"Action | Drama","0",3
"65","Yeh Dil Aashiqanaa",2002,"Action | Romance","0",4
"72","Kya Yehi Pyaar Hai",2002,"Comedy | Musical | Romance","0",4
"75","16 December",2002,"Action | Drama | Mystery","0",4
"79","Road",2002,"Thriller","0",3
"85","Awara Paagal Deewana",2002,"Action | Comedy | Crime","0",4
"88","Mere Yaar Ki Shaadi Hai",2002,"Comedy | Drama | Musical","0",5
"92","Humraaz",2002,"Action | Musical | Mystery","0",4
"102","Dil Hai Tumhaara",2002,"Drama | Family | Romance","0",3
"107","Saathiya",2002,"Drama | Romance","0",5
"112","Ek Chhotisi Love Story",2002,"Comedy | Drama | Fantasy","0",6
"121","Deewangee",2002,"Crime | Thriller | Drama","0",3
"118","Baghban",2003,"Drama | Romance","0",6
"130","Bhoot",2003,"Horror | Thriller","0",6
"139","Andaaz",2003,"Drama | Musical | Romance","0",6
"141","Chalte Chalte",2003,"Drama | Romance","0",6
"142","The Hero: Love Story of a Spy",2003,"Action | Adventure | Drama","0",3
"144","Kal Ho Naa Ho",2003,"Comedy | Drama | Romance","0",6
"151","Tujhe Meri Kasam",2003,"Romance","0",6
"156","Jism",2003,"Drama | Romance | Thriller","0",6
"159","Darna Mana Hai",2003,"Horror | Adventure","0",3
"161","Khwahish",2003,"Drama | Romance | Musical","0",4
"165","Sssshhh...",2003,"Horror | Mystery","0",3
"167","Ek Aur Ek Gyarah: By Hook or by Crook",2003,"Action | Comedy | Musical","0",3
"174","Ishq Vishk",2003,"Comedy | Romance","0",4
"175","Nayee Padosan",2003,"Comedy","0",3
