"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"1","Albela",0,0,0,0,0,0,0,1,0,0,0
"2","Lagaan: Once Upon a Time in India",0,0,0,0,1,0,0,0,0,1,0
"3","Meri Biwi Ka Jawab Nahin",1,0,0,1,0,0,0,0,0,0,0
"4","Hum Tumhare Hain Sanam",0,0,0,0,1,0,0,1,0,0,0
"5","One 2 Ka 4",1,0,0,1,1,0,0,0,0,0,0
"6","Devdas",0,0,0,0,0,0,0,1,0,0,0
"7","Aap Mujhe Achche Lagne Lage",1,0,0,0,1,0,0,1,0,0,0
"8","Kabhi Khushi Kabhie Gham...",0,0,0,0,1,0,0,1,0,0,0
"9","Na Tum Jaano Na Hum",0,0,0,1,1,0,0,0,0,0,0
"10","Yaadein...",0,0,0,0,1,0,0,1,0,0,0
"11","Zubeidaa",0,0,0,0,1,0,0,0,0,1,0
"12","Chori Chori Chupke Chupke",0,0,0,0,1,0,0,1,0,0,0
"13","Main Prem Ki Diwani Hoon",0,0,0,0,1,0,0,1,0,0,0
"14","Officer",1,0,0,0,1,0,0,0,0,0,0
"15","Chandni Bar",0,0,0,0,1,0,0,0,0,0,0
"16","Kuch Khatti Kuch Meethi",0,0,0,0,1,1,0,0,0,0,0
"17","Censor",0,0,0,0,0,0,0,1,0,0,0
"18","Farz",1,0,0,0,0,0,0,0,0,0,0
"19","Mujhe Meri Biwi Se Bachaao",0,0,0,1,0,1,0,0,0,0,0
"20","Mujhse Dosti Karoge!",0,0,0,0,1,0,0,1,0,0,0
"21","Daman: A Victim of Marital Violence",0,0,0,0,1,1,0,0,0,0,0
"22","Aashiq",1,0,0,1,1,0,0,0,0,0,0
"23","Dil Ne Phir Yaad Kiya",0,0,0,0,1,0,0,1,0,0,0
"24","Pyaar Diwana Hota Hai",0,0,0,0,0,0,0,1,0,0,0
"25","Grahan",0,0,0,0,1,0,0,1,0,0,0
"26","Rahul",0,0,0,0,1,0,0,0,0,0,0
"27","Ajnabee",0,0,1,0,0,0,0,0,1,0,0
"28","Jodi No.1",0,0,0,1,0,0,0,0,0,0,0
"29","Chhupa Rustam: A Musical Thriller",0,0,0,0,1,0,0,1,0,0,0
"30","The Guru",0,0,0,1,0,0,0,0,0,0,0
"31","Pyaar Tune Kya Kiya...",0,0,0,0,0,0,0,0,1,0,0
"32","Bas Itna Sa Khwaab Hai...",0,0,0,0,0,0,0,1,0,0,0
"33","Gadar: Ek Prem Katha",1,0,0,0,1,0,0,1,0,0,0
"34","Mujhe Kucch Kehna Hai",0,0,0,0,0,0,0,1,0,0,0
"35","Paagalpan",0,0,0,0,0,0,0,1,0,0,0
"36","Love Ke Liye Kuch Bhi Karega",0,0,0,1,0,0,0,1,0,0,0
"37","Uljhan",0,0,0,0,1,0,0,0,0,0,0
"38","Aks",0,0,1,0,0,0,0,0,1,0,0
"39","Tum Bin...: Love Will Find a Way",0,0,0,0,1,0,0,1,0,0,0
"40","Nayak: The Real Hero",1,0,0,0,1,0,0,0,0,0,0
"41","Dil Chahta Hai",0,0,0,1,1,0,0,0,0,0,0
"42","Hum Ho Gaye Aap Ke",0,0,0,0,0,0,0,0,0,0,0
"43","Yeh Raaste Hain Pyaar Ke",0,0,0,0,1,0,0,1,0,0,0
"44","Lajja",0,0,0,0,1,0,0,0,0,0,0
"45","Kaante",1,0,0,0,1,0,0,0,0,0,0
"46","Shirdi Sai Baba",0,0,1,0,1,0,0,0,0,0,0
"47","Bollywood Bound",0,0,0,0,0,0,0,0,0,0,0
"48","Company",1,0,0,0,0,0,0,0,1,0,0
"49","Ittefaq",1,0,0,0,1,0,0,0,1,0,0
"50","Yeh Teraa Ghar Yeh Meraa Ghar",0,0,0,1,1,0,0,0,0,0,0
"51","Yeh Zindagi Ka Safar",0,0,0,0,1,0,0,0,0,0,0
"52","Rehnaa Hai Terre Dil Mein",0,0,0,0,0,0,0,0,0,0,0
"53","Indian",1,0,0,0,1,0,0,0,0,0,0
"54","Deewaanapan",0,0,0,0,1,0,0,1,0,0,0
"55","Moksha: Salvation",0,0,0,0,1,0,0,0,1,0,0
"56","Tera Mera Saath Rahen",0,0,0,0,1,0,0,0,0,0,0
"57","Ehsaas: The Feeling",0,0,0,0,1,0,0,0,0,0,0
"58","Veer Savarkar",0,0,0,0,1,0,0,0,0,0,0
"59","Aamdani Atthanni Kharcha Rupaiya",0,0,0,1,0,0,0,0,0,0,0
"60","Pitaah",1,0,0,0,1,0,0,0,0,0,0
"61","Aankhen",0,0,0,1,0,0,0,0,1,0,0
"62","Koi Mere Dil Se Poochhe",0,0,0,0,0,0,0,1,1,0,0
"63","Style",0,0,0,1,0,0,0,0,0,0,0
"64","Maa Tujhhe Salaam",1,0,0,0,1,0,0,0,0,0,0
"65","Yeh Dil Aashiqanaa",1,0,0,0,0,0,0,1,0,0,0
"66","Filhaal...",0,0,0,0,1,0,0,0,0,0,0
"67","Haan Maine Bhi Pyaar Kiya",0,0,0,0,0,0,0,1,0,0,0
"68","Yeh Mohabbat Hai",1,0,0,0,0,0,0,1,0,0,0
"69","Tumko Na Bhool Paayenge",1,0,1,0,1,0,0,0,0,0,0
"70","Kranti",0,0,0,0,1,0,0,0,0,0,0
"71","Escape from Taliban",0,0,0,0,1,0,0,0,1,0,0
"72","Kya Yehi Pyaar Hai",0,0,0,1,0,0,0,1,0,0,0
"73","Kitne Door... Kitne Paas",0,0,0,1,0,0,0,1,0,0,0
"74","Vadh",0,0,1,0,0,0,0,0,1,0,0
"75","16 December",1,0,1,0,1,0,0,0,0,0,0
"76","Dum",0,0,0,0,0,0,0,0,0,0,0
"77","Durga",1,0,0,0,0,0,0,0,0,0,0
"78","Humko Tumse Pyaar Hai",0,0,0,0,0,0,0,1,1,0,0
"79","Road",0,0,0,0,0,0,0,0,1,0,0
"80","Angaar: The Fire",1,0,0,0,0,0,0,0,0,0,0
"81","Ansh: The Deadly Part",1,0,0,0,0,0,0,0,0,0,0
"82","Lal Salaam",1,0,0,0,1,0,0,0,0,0,0
"83","Yeh Kaisi Mohabbat",0,0,0,0,1,0,0,1,0,0,0
"84","Kasam",0,0,0,0,1,0,0,0,0,1,0
"85","Awara Paagal Deewana",1,0,0,1,0,0,0,0,0,0,0
"86","The Legend of Bhagat Singh",0,0,0,0,1,0,0,0,0,0,0
"87","Ab Ke Baras",0,0,0,0,0,0,0,0,1,1,0
"88","Mere Yaar Ki Shaadi Hai",0,0,0,1,1,0,0,0,0,0,0
"89","Lakshya",0,0,0,0,1,0,0,1,0,0,0
"90","23rd March 1931: Shaheed",0,0,0,0,1,0,0,0,0,0,0
"91","Badhaai Ho Badhaai",0,0,0,1,1,0,0,0,0,0,0
"92","Humraaz",1,0,1,0,0,0,0,0,0,0,0
"93","Maine Dil Tujhko Diya",1,0,0,0,1,0,0,1,0,0,0
"94","Chori Chori",0,0,0,1,0,0,0,1,0,0,0
"95","Jaani Dushman: Ek Anokhi Kahani",1,0,0,0,0,0,1,0,0,0,0
"96","Kuch Tum Kaho Kuch Hum Kahein",1,0,0,0,1,0,0,1,0,0,0
"97","Kyaa Dil Ne Kahaa",0,0,0,0,0,1,0,1,0,0,0
"98","Om Jai Jagadish",0,0,0,0,1,0,0,0,0,0,0
"99","Taj Mahal: An Eternal Love Story",0,0,0,0,1,0,0,1,0,0,0
"100","Yeh Hai Jalwa",0,0,0,1,1,0,0,1,0,0,0
"101","Dil Maange More!!!",0,0,0,0,0,0,0,1,0,0,0
"102","Dil Hai Tumhaara",0,0,0,0,1,1,0,1,0,0,0
"103","Soch",0,0,0,0,0,0,0,0,1,0,0
"104","Boom",1,0,1,0,0,0,0,0,0,0,0
"105","Dil Ka Rishta",0,0,0,0,0,0,0,1,0,0,0
"106","Pran Jaaye Par Shaan Na Jaaye",0,0,0,1,1,0,0,0,0,0,0
"107","Saathiya",0,0,0,0,1,0,0,1,0,0,0
"108","Chor Machaaye Shor",1,0,0,1,0,0,0,0,0,0,0
"109","Gunaah",0,0,0,0,1,0,0,0,0,0,0
"110","Akhiyon Se Goli Maare",0,0,0,1,0,0,0,0,0,0,0
"111","Chhal",1,0,0,0,1,0,0,0,1,0,0
"112","Ek Chhotisi Love Story",0,0,0,1,1,0,0,0,0,0,0
"113","Shakthi: The Power",1,0,0,0,1,0,0,0,0,0,0
"114","Armaan",0,0,0,0,1,1,0,1,0,0,0
"115","Sur: The Melody of Life",0,0,0,0,1,0,0,0,0,0,0
"116","Dil Vil Pyar Vyar",0,0,0,0,0,0,0,1,0,0,0
"117","Pyaasa",0,0,0,0,1,0,0,1,0,0,0
"118","Baghban",0,0,0,0,1,0,0,1,0,0,0
"119","Hathyar: Face to Face with Reality",1,0,0,0,0,0,0,0,1,0,0
"120","Jeena Sirf Merre Liye",0,0,0,0,0,0,0,1,0,0,0
"121","Deewangee",0,0,0,0,1,0,0,0,1,0,0
"122","Ek Hindustani",1,0,0,0,0,0,0,0,0,0,0
"123","Talaash: The Hunt Begins...",1,0,0,0,0,0,0,0,0,1,0
"124","Yeh Kya Ho Raha Hai?",0,0,0,1,0,0,0,1,0,0,0
"125","Annarth",1,0,0,0,0,0,0,0,1,0,0
"126","Ek Se Badhkar Ek",0,0,0,1,0,0,0,0,1,0,0
"127","Waah! Tera Kya Kehna",0,0,0,1,0,0,0,0,0,0,0
"128","Jaal: The Trap",1,0,0,0,1,0,0,0,0,0,0
"129","Zindagi Khoobsoorat Hai",0,0,0,0,1,1,0,0,0,0,0
"130","Bhoot",0,0,0,0,0,0,1,0,1,0,0
"131","Maseeha",1,0,0,0,1,0,0,0,0,0,0
"132","Rishtey",0,0,0,0,0,1,0,0,0,0,0
"133","Satta",0,0,0,0,1,0,0,0,0,0,0
"134","Karz: The Burden of Truth",1,0,0,0,0,0,0,0,0,0,0
"135","Chura Liyaa Hai Tumne",1,0,1,0,1,0,0,0,0,0,0
"136","Danger",0,0,0,0,1,0,0,0,1,0,0
"137","Love at Times Square",0,0,0,0,1,0,0,0,0,0,0
"138","The Rising: Ballad of Mangal Pandey",0,0,0,0,1,0,0,0,0,0,0
"139","Andaaz",0,0,0,0,1,0,0,1,0,0,0
"140","Avgat",1,0,0,0,1,0,0,0,0,0,0
"141","Chalte Chalte",0,0,0,0,1,0,0,1,0,0,0
"142","The Hero: Love Story of a Spy",1,0,0,0,1,0,0,0,0,1,0
"143","Jhankaar Beats",0,0,0,1,0,0,0,1,0,0,0
"144","Kal Ho Naa Ho",0,0,0,1,1,0,0,1,0,0,0
"145","Khakee",1,0,0,0,1,0,0,0,0,0,0
"146","LOC: Kargil",0,0,0,0,1,0,0,0,0,0,0
"147","Main Hoon Na",1,0,0,1,0,0,0,1,0,0,0
"148","Pinjar",0,0,0,0,1,0,0,0,0,0,0
"149","Tehzeeb",0,0,0,0,1,0,0,0,0,0,0
"150","Tere Liye",0,0,0,0,1,1,0,0,0,0,0
"151","Tujhe Meri Kasam",0,0,0,0,0,0,0,1,0,0,0
"152","Aapko Pehle Bhi Kahin Dekha Hai",1,0,0,1,1,0,0,0,0,0,0
"153","Khushi",1,0,0,0,1,0,0,1,0,0,0
"154","Kucch To Hai",0,0,1,0,1,0,1,0,0,0,0
"155","Chalo Ishq Ladaaye",0,0,0,1,0,0,0,1,0,0,0
"156","Jism",0,0,0,0,1,0,0,1,1,0,0
"157","88 Antop Hill",0,0,0,0,0,0,0,0,1,0,0
"158","Baaz: A Bird in Danger",0,0,0,0,0,0,0,0,1,0,0
"159","Darna Mana Hai",0,0,0,0,0,0,1,0,0,1,0
"160","Inteqam: The Perfect Game",1,0,0,0,0,0,0,1,0,0,0
"161","Khwahish",0,0,0,0,1,0,0,1,0,0,0
"162","Kyun! Ho Gaya Na...",0,0,0,1,1,0,0,1,0,0,0
"163","Ek Hasina Thi",0,0,0,0,0,0,0,1,1,0,0
"164","Kash... Aap Hamare Hote",0,0,0,0,0,1,0,1,0,0,0
"165","Sssshhh...",0,0,1,0,0,0,1,0,0,0,0
"166","Dhund: The Fog",0,0,0,0,0,0,0,0,1,1,0
"167","Ek Aur Ek Gyarah: By Hook or by Crook",1,0,0,1,0,0,0,0,0,0,0
"168","Oops!",0,0,0,0,1,0,0,0,0,0,0
"169","Paanch",0,0,0,0,0,0,0,0,1,0,0
"170","Stumped",0,0,0,1,1,0,0,0,0,0,0
"171","Om",1,0,0,0,0,0,0,1,0,0,0
"172","Supari",0,0,0,0,1,0,0,0,0,0,0
"173","Haasil",0,0,0,0,1,0,0,1,0,0,0
"174","Ishq Vishk",0,0,0,1,0,0,0,1,0,0,0
"175","Nayee Padosan",0,0,0,1,0,0,0,0,0,0,0
"176","Aan: Men at Work",1,0,0,0,1,0,0,0,0,0,0
"177","Bewafaa",0,0,0,0,1,0,0,0,0,0,0
"178","Joggers' Park",0,0,0,1,0,0,0,1,0,0,0
"179","Mumbai Se Aaya Mera Dost",1,0,0,0,0,0,0,1,0,1,0
"180","Dev",0,0,0,0,1,0,0,0,0,0,0
"181","Plan",1,0,0,0,0,0,0,0,1,0,0
"182","Qayamat: City Under Threat",1,0,0,0,0,0,0,1,1,0,0
"183","Calcutta Mail",0,0,0,0,0,0,0,0,1,0,0
"184","Janasheen",1,0,0,0,1,0,0,0,0,0,0
"185","Kaise Kahoon Ke... Pyaar Hai",0,0,0,0,0,0,0,1,0,0,0
"186","Meenaxi: Tale of 3 Cities",0,0,0,0,1,0,0,1,0,0,0
"187","Parwana",0,0,0,0,1,0,0,1,0,0,0
"188","Rudraksh",0,0,0,0,0,0,0,0,0,0,1
"189","Swades",0,0,0,0,1,0,0,0,0,0,0
"190","Asambhav",1,0,0,0,1,0,0,0,0,1,0
"191","Desh",0,0,0,0,1,0,0,0,0,0,0
"192","Jajantaram Mamantaram",0,0,0,0,0,1,0,0,0,0,0
"193","Hawa",0,0,0,0,0,0,1,0,1,0,0
"194","Kuch Naa Kaho",0,0,0,0,1,0,0,1,0,0,0
"195","Hungama",0,0,0,1,1,0,0,1,0,0,0
"196","Khel",1,0,0,0,0,0,0,0,1,0,0
"197","Saaya",1,0,0,0,1,0,1,0,0,0,0
"198","Gangaajal",0,0,0,0,1,0,0,0,0,0,0
"199","Khanjar",1,0,0,0,0,0,0,0,0,0,0
"200","Khullam Khulla Pyaar Karen",0,0,0,1,0,0,0,0,0,0,0
"201","Tere Naam",0,0,0,0,0,0,0,1,0,0,0
"202","Footpath",1,0,0,0,1,0,0,0,0,0,0
"203","Main Madhuri Dixit Banna Chahti Hoon!",0,0,0,1,1,0,0,0,0,0,0
"204","Munnabhai M.B.B.S.",0,0,0,1,0,0,0,0,0,0,0
"205","Black",0,0,0,0,1,0,0,0,0,0,0
"206","Encounter: The Killing",0,0,0,0,1,0,0,0,0,0,0
"207","Basti",1,0,0,0,0,0,0,0,0,0,0
"208","Raghu Romeo",0,0,0,1,0,0,0,0,0,0,0
"209","Aetbaar",0,0,0,0,1,0,0,1,0,0,0
"210","Hawayein",0,0,0,0,1,0,0,1,0,0,0
"211","Hum Tum",0,0,0,1,1,0,0,1,0,0,0
"212","Kagaar: Life on the Edge",0,0,0,0,1,0,0,0,0,0,0
"213","I Proud to Be an Indian",1,0,0,0,0,0,0,0,0,0,0
"214","Ek Din 24 Ghante",0,0,0,0,0,0,0,0,1,0,0
"215","Chupke Se",0,0,0,1,0,0,0,1,0,0,0
"216","Market",0,0,0,0,1,0,0,0,0,0,0
"217","Master",1,0,0,0,0,0,0,0,0,0,0
"218","Mumbai Matinee",0,0,0,1,0,0,0,1,0,0,0
"219","Yuva",1,0,0,0,0,0,0,0,0,1,0
"220","Zameen",1,0,0,0,0,0,0,0,0,0,0
