,genres,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,movie_title,plot_keywords,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,title_year,imdb_score
1,Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,Avatar,avatar|future|marine|native|paraplegic,avatar,future,marine,native,paraplegic,English,USA,2009,7.9
2,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Pirates of the Caribbean: At World's End,goddess|marriage ceremony|marriage proposal|pirate|singapore,goddess,marriage ceremony,marriage proposal,pirate,singapore,English,USA,2007,7.1
3,Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,Spectre,bomb|espionage|sequel|spy|terrorist,bomb,espionage,sequel,spy,terrorist,English,UK,2015,6.8
4,Action|Thriller,Action,Thriller,,,,,,,The Dark Knight Rises,deception|imprisonment|lawlessness|police officer|terrorist plot,deception,imprisonment,lawlessness,police officer,terrorist plot,English,USA,2012,8.5
5,Documentary,Documentary,,,,,,,,Star Wars: Episode VII - The Force Awakens            ,,,,,,,,,NA,7.1
6,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,John Carter,alien|american civil war|male nipple|mars|princess,alien,american civil war,male nipple,mars,princess,English,USA,2012,6.6
7,Action|Adventure|Romance,Action,Adventure,Romance,,,,,,Spider-Man 3,sandman|spider man|symbiote|venom|villain,sandman,spider man,symbiote,venom,villain,English,USA,2007,6.2
8,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance,,Tangled,17th century|based on fairy tale|disney|flower|tower,17th century,based on fairy tale,disney,flower,tower,English,USA,2010,7.8
9,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Avengers: Age of Ultron,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,artificial intelligence,based on comic book,captain america,marvel cinematic universe,superhero,English,USA,2015,7.5
10,Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,Harry Potter and the Half-Blood Prince,blood|book|love|potion|professor,blood,book,love,potion,professor,English,UK,2009,7.5
