"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"1","Avatar",1,0,0,0,0,0,0,0,0,1,1
"2","Pirates of the Caribbean: At World's End",1,0,0,0,0,0,0,0,0,1,0
"3","Spectre",1,0,0,0,0,0,0,0,1,1,0
"4","The Dark Knight Rises",1,0,0,0,0,0,0,0,1,0,0
"5","Star Wars: Episode VII - The Force Awakens            ",0,0,0,0,0,0,0,0,0,0,0
"6","John Carter",1,0,0,0,0,0,0,0,0,1,1
"7","Spider-Man 3",1,0,0,0,0,0,0,1,0,1,0
"8","Tangled",0,1,0,1,0,1,0,1,0,1,0
"9","Avengers: Age of Ultron",1,0,0,0,0,0,0,0,0,1,1
"10","Harry Potter and the Half-Blood Prince",0,0,1,0,0,1,0,0,0,1,0
"11","Batman v Superman: Dawn of Justice",1,0,0,0,0,0,0,0,0,1,1
"12","Superman Returns",1,0,0,0,0,0,0,0,0,1,1
"13","Quantum of Solace",1,0,0,0,0,0,0,0,0,1,0
"14","Pirates of the Caribbean: Dead Man's Chest",1,0,0,0,0,0,0,0,0,1,0
"15","The Lone Ranger",1,0,0,0,0,0,0,0,0,1,0
"16","Man of Steel",1,0,0,0,0,0,0,0,0,1,1
"17","The Chronicles of Narnia: Prince Caspian",1,0,0,0,0,1,0,0,0,1,0
"18","The Avengers",1,0,0,0,0,0,0,0,0,1,1
"19","Pirates of the Caribbean: On Stranger Tides",1,0,0,0,0,0,0,0,0,1,0
"20","Men in Black 3",1,0,0,1,0,1,0,0,0,1,1
"21","The Hobbit: The Battle of the Five Armies",0,0,0,0,0,0,0,0,0,1,0
"22","The Amazing Spider-Man",1,0,0,0,0,0,0,0,0,1,0
"23","Robin Hood",1,0,0,0,1,0,0,0,0,1,0
"24","The Hobbit: The Desolation of Smaug",0,0,0,0,0,0,0,0,0,1,0
"25","The Golden Compass",0,0,0,0,0,1,0,0,0,1,0
"26","King Kong",1,0,0,0,1,0,0,1,0,1,0
"27","Titanic",0,0,0,0,1,0,0,1,0,0,0
"28","Captain America: Civil War",1,0,0,0,0,0,0,0,0,1,1
"29","Battleship",1,0,0,0,0,0,0,0,1,1,1
"30","Jurassic World",1,0,0,0,0,0,0,0,1,1,1
"31","Skyfall",1,0,0,0,0,0,0,0,1,1,0
"32","Spider-Man 2",1,0,0,0,0,0,0,1,0,1,0
"33","Iron Man 3",1,0,0,0,0,0,0,0,0,1,1
"34","Alice in Wonderland",0,0,0,0,0,1,0,0,0,1,0
"35","X-Men: The Last Stand",1,0,0,0,0,0,0,0,1,1,1
"36","Monsters University",0,1,0,1,0,1,0,0,0,1,0
"37","Transformers: Revenge of the Fallen",1,0,0,0,0,0,0,0,0,1,1
"38","Transformers: Age of Extinction",1,0,0,0,0,0,0,0,0,1,1
"39","Oz the Great and Powerful",0,0,0,0,0,1,0,0,0,1,0
"40","The Amazing Spider-Man 2",1,0,0,0,0,0,0,0,0,1,1
"41","TRON: Legacy",1,0,0,0,0,0,0,0,0,1,1
"42","Cars 2",0,1,0,1,0,1,0,0,0,1,0
"43","Green Lantern",1,0,0,0,0,0,0,0,0,1,1
"44","Toy Story 3",0,1,0,1,0,1,0,0,0,1,0
"45","Terminator Salvation",1,0,0,0,0,0,0,0,0,1,1
"46","Furious 7",1,0,0,0,0,0,0,0,1,0,0
"47","World War Z",1,0,0,0,0,0,1,0,1,1,1
"48","X-Men: Days of Future Past",1,0,0,0,0,0,0,0,1,1,1
"49","Star Trek Into Darkness",1,0,0,0,0,0,0,0,0,1,1
"50","Jack the Giant Slayer",0,0,0,0,0,0,0,0,0,1,0
